name,objective,method,structure,target,zero_handling,arm,total_predicted_reserve,total_true_reserve,total_reserve_error,total_reserve_error_pct,max_ay_error_pct,rmse,mae
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,shift_dy_bs1,875170807.6774601,363119152.06,512051655.6174601,141.01477509862968,482.1385861678669,79954.48987172716,6278.301789833405
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,shift_global,836453567.5564113,363119152.06,473334415.49641126,130.35236858511936,460.8787547561377,79733.42476267497,6059.377872159228
lightgbm_tweedie__single_model__raw__two_stage,tweedie_lgbm,lightgbm,single_model,raw,two_stage,cv_dy,1221455485.0008955,363119152.06,858336332.9408956,236.37870050959702,722.9775550453173,81485.23186996132,8203.651449388617
lightgbm_tweedie__single_model__raw__two_stage,tweedie_lgbm,lightgbm,single_model,raw,two_stage,cv_dy_bs1,1050679524.6416628,363119152.06,687560372.5816629,189.34841874384358,612.0196755478714,80398.9795397229,7237.364774798689
lightgbm_tweedie__single_model__raw__two_stage,tweedie_lgbm,lightgbm,single_model,raw,two_stage,cv_dy_bsmean,1070004692.2789578,363119152.06,706885540.2189579,194.67040948095067,624.5665233684083,80487.24551344209,7346.043682669257
lightgbm_tweedie__single_model__raw__two_stage,tweedie_lgbm,lightgbm,single_model,raw,two_stage,cv_dy_heur,1164678852.632712,363119152.06,801559700.572712,220.74288729344306,685.9535144275225,80943.16969019084,7871.104061152411
lightgbm_tweedie__single_model__raw__two_stage,tweedie_lgbm,lightgbm,single_model,raw,two_stage,cv_dy_zcv,1159627300.8920457,363119152.06,796508148.8320458,219.35173188012809,682.3062030734089,80984.30721019153,7857.5139854544595
lightgbm_tweedie__single_model__raw__two_stage,tweedie_lgbm,lightgbm,single_model,raw,two_stage,cv_global,921337725.9898579,363119152.06,558218573.929858,153.7287611416378,529.6805712013513,79614.12822352258,6498.383179113805
lightgbm_tweedie__single_model__raw__two_stage,tweedie_lgbm,lightgbm,single_model,raw,two_stage,cv_type,947703339.3335942,363119152.06,584584187.2735941,160.9896321791918,503.0578042658459,78889.20340048661,6513.324386511265
lightgbm_tweedie__single_model__raw__two_stage,tweedie_lgbm,lightgbm,single_model,raw,two_stage,cv_type_bs1,926863298.2007651,363119152.06,563744146.1407652,155.25045785731922,493.5353289031953,78994.39441315838,6429.534210235554
